iter	MultiClass
0	1.085806856
1	1.073890113
2	1.063144744
3	1.053102053
4	1.043948169
5	1.03582537
6	1.027651121
7	1.019811359
8	1.012316386
9	1.005150359
10	0.9989078296
11	0.9929484051
12	0.9870868859
13	0.981581506
14	0.9764551616
15	0.9710607911
16	0.9662171334
17	0.961446907
18	0.9572449012
19	0.9520158905
20	0.9478709021
21	0.9438875358
22	0.9394568978
23	0.935302081
24	0.9317388129
25	0.9277206083
26	0.9229051732
27	0.9195619193
28	0.9162902129
29	0.9121856038
30	0.908450275
31	0.9044372769
32	0.9008221424
33	0.8976798047
34	0.8948589162
35	0.891729671
36	0.8886165679
37	0.88575205
38	0.8827779242
39	0.8802043372
40	0.8771362418
41	0.8736798198
42	0.8703658808
43	0.8680481764
44	0.8654615695
45	0.8628565961
46	0.8607044779
47	0.8583278135
48	0.8557631275
49	0.8529657504
50	0.8502575425
51	0.8483203468
52	0.8457817944
53	0.843795386
54	0.8415218809
55	0.8386940482
56	0.8360541183
57	0.8332503238
58	0.8314544759
59	0.8288752332
60	0.8267826542
61	0.8248401078
62	0.8230414195
63	0.8196831559
64	0.8176517596
65	0.815942954
66	0.8143490037
67	0.8113257514
68	0.8094511928
69	0.8072688127
70	0.8056998389
71	0.8039632191
72	0.8025509966
73	0.8007928482
74	0.7983369558
75	0.7958571232
76	0.7938245323
77	0.7920312112
78	0.790673518
79	0.7887283773
80	0.7871836373
81	0.7851943437
82	0.7838966357
83	0.7825177131
84	0.7802641877
85	0.7787933412
86	0.7773647672
87	0.7761924125
88	0.7743374559
89	0.7720310525
90	0.7709487401
91	0.7689035813
92	0.7670553023
93	0.7656612174
94	0.764120858
95	0.7630966257
96	0.76182004
97	0.7600952495
98	0.758731864
99	0.7573805883
100	0.7557593676
101	0.7538591711
102	0.7525572415
103	0.7509796908
104	0.7488253194
105	0.7472995207
106	0.7462275181
107	0.7453799887
108	0.7431661597
109	0.7418489253
110	0.7408656285
111	0.7399584733
112	0.7384129444
113	0.7375674908
114	0.7363493357
115	0.7353488276
116	0.7333566259
117	0.7322926952
118	0.7313581885
119	0.7299101835
120	0.7286548911
121	0.7268451517
122	0.7257397824
123	0.7237055538
124	0.7220263134
125	0.7209763535
126	0.7198181743
127	0.7191080241
128	0.7176597845
129	0.7163192313
130	0.7146657801
131	0.713675343
132	0.7123093557
133	0.71135809
134	0.7097951448
135	0.7081591903
136	0.7066636569
137	0.705660518
138	0.7048791006
139	0.7041771985
140	0.7029160335
141	0.7016723981
142	0.700438812
143	0.6995262274
144	0.6989058435
145	0.6975249007
146	0.6963499991
147	0.6953036742
148	0.6942445122
149	0.6937995381
150	0.692467775
151	0.6915481645
152	0.690171487
153	0.6888008352
154	0.6873746646
155	0.6862880752
156	0.6848497878
157	0.6838081117
158	0.6833186446
159	0.6825495947
160	0.6813697324
161	0.6803001274
162	0.6790674662
163	0.677756837
164	0.6761819621
165	0.6751189233
166	0.6738236757
167	0.6728375495
168	0.6721513966
169	0.6712077035
170	0.6696782121
171	0.6682541327
172	0.6668137946
173	0.6656237161
174	0.6648208133
175	0.6637163233
176	0.6624922159
177	0.6616403433
178	0.6609545364
179	0.6597653589
180	0.6584366856
181	0.6574816872
182	0.656153075
183	0.6553160534
184	0.6543472427
185	0.652761728
186	0.652132707
187	0.6507182967
188	0.6496725452
189	0.6490896151
190	0.6480705915
191	0.6470461979
192	0.6463543037
193	0.6458116376
194	0.6445180034
195	0.6437937553
196	0.6426884862
197	0.6419556655
198	0.641255159
199	0.640762782
200	0.64012463
201	0.639564215
202	0.6390417501
203	0.6384193754
204	0.637563648
205	0.6365343216
206	0.6355892738
207	0.6350026331
208	0.6342056445
209	0.6330177431
210	0.6321740376
211	0.6311043463
212	0.630627237
213	0.6300096059
214	0.6289546663
215	0.628674501
216	0.6278278386
217	0.627060594
218	0.6265311162
219	0.6258798099
220	0.6252055985
221	0.6243548794
222	0.6236954548
223	0.6226823278
224	0.6217466976
225	0.6212728403
226	0.6207815455
227	0.6204200772
228	0.6196089549
229	0.6188352153
230	0.6176911908
231	0.6165677151
232	0.6154722278
233	0.6148647254
234	0.6137015425
235	0.6125207953
236	0.6121396928
237	0.6116280322
238	0.6107511929
239	0.6101902687
240	0.6096308582
